Gene	Patient06_BM	Patient06_CNS	Patient07_BM	Patient07_CNS	Patient08_BM	Patient08_CNS
DDX11L1	0	0	0	0	0	0
WASH7P	13	15	7	30	6	41
LOC729737	62	1075	196	275	243	154
LOC100133331	15	9	7	22	6	31
MIR6723	68	62	119	31	132	23
LOC100288069	142	264	167	217	173	199
FAM87B	3	46	17	7	23	3
LINC00115	0	3	0	2	0	2
LINC01128	53	204	183	47	231	25
FAM41C	4	3	3	3	3	3
LOC100130417	0	0	0	0	0	0
SAMD11	0	0	1	0	1	0
NOC2L	30	32	9	123	7	218
KLHL17	14	20	10	30	9	35
PLEKHN1	0	0	0	0	0	1
PERM1	1	1	0	2	0	2
HES4	0	0	0	1	0	2
ISG15	850	984	1509	494	1684	368
AGRN	34	49	21	85	19	108
C1orf159	1	1	0	6	0	10
TTLL10	1	1	1	0	1	0
TNFRSF18	0	1	0	5	0	9
TNFRSF4	4	14	3	23	3	28
SDF4	11	5	2	34	1	73
B3GALT6	1	0	0	3	0	6
FAM132A	7	1	6	2	6	2
UBE2J2	4	5	3	8	2	10
SCNN1D	105	107	56	225	50	309
ACAP3	0	2	0	8	0	13
PUSL1	1	0	0	0	0	2
CPSF3L	522	957	502	1003	499	1023
CPTP	0	1	0	3	0	6
TAS1R3	0	0	0	1	0	2
DVL1	27	80	29	76	29	74
MXRA8	0	5	2	0	3	0
AURKAIP1	4	1	0	8	0	17
CCNL2	436	1737	441	1716	441	1707
LOC148413	10	22	7	33	7	39
MRPL20	333	341	473	223	506	186
ANKRD65	2	2	2	2	2	1
LOC102724312	3	0	0	1	0	3
VWA1	1	0	0	0	0	1
ATAD3C	1	4	2	3	2	2
ATAD3B	10	11	9	13	9	13
ATAD3A	3	0	0	5	0	11
SSU72	12	15	17	10	18	8
C1orf233	0	0	0	0	0	0
MIB2	2	7	0	36	0	70
CDK11B	14	16	20	11	22	9
SLC35E2B	1059	1250	815	1711	775	1955
CDK11A	154	360	302	160	344	113
SLC35E2	272	581	285	547	288	534
NADK	126	61	59	153	51	226
GNB1	2569	1639	2181	1995	2114	2168
CALML6	2	0	1	1	1	1
TMEM52	62	130	67	118	68	113
CFAP74	95	176	180	82	203	59
GABRD	3	0	0	3	0	7
PRKCZ	1	0	0	6	0	15
FAAP20	56	106	34	193	31	249
SKI	22	150	18	187	18	204
MORN1	10	0	4	2	3	4
LOC100129534	0	0	0	0	0	0
RER1	319	304	197	543	179	694
PEX10	0	0	0	2	0	5
PLCH2	2	60	3	43	3	37
PANK4	249	133	89	454	73	764
LOC115110	15	145	11	197	11	224
TNFRSF14	144	2522	184	1873	193	1650
LOC100996583	0	2	0	4	0	5
FAM213B	3	1	0	6	0	11
PRDM16	1	1	1	0	1	0
ARHGEF16	0	0	0	2	0	3
MEGF6	14	26	4	102	3	182
TPRG1L	25	46	46	22	51	16
WRAP73	71	30	9	341	6	947
TP73	1	0	0	0	0	0
TP73-AS1	47	93	42	106	41	112
CCDC27	0	0	0	2	0	4
SMIM1	1	2	3	1	3	0
LRRC47	10	4	4	13	3	21
CEP104	102	28	39	91	32	148
DFFB	0	0	0	0	0	1
C1orf174	31	66	36	55	38	51
LINC01134	0	0	0	0	0	0
NPHP4	9	28	7	35	7	38
KCNAB2	864	792	548	1366	503	1722
CHD5	2	0	2	0	2	0
RPL22	1636	862	2240	591	2378	504
LOC102724450	0	0	0	0	0	0
RNF207	3	3	2	4	2	5
ICMT	169	80	150	93	147	98
GPR153	0	1	0	0	0	0
ACOT7	12	0	2	0	2	1
ESPN	19	9	26	6	28	5
TNFRSF25	3	44	2	58	2	65
PLEKHG5	3	28	5	17	6	14
NOL9	512	515	633	399	659	357
TAS1R1	0	0	0	0	0	1
ZBTB48	27	30	21	40	20	46
KLHL21	0	2	1	1	1	1
PHF13	29	2	8	11	6	22
THAP3	8	19	10	13	11	12
DNAJC11	176	149	162	164	160	171
CAMTA1	66	119	81	94	84	85
VAMP3	161	90	137	109	133	118
PER3	31	20	35	17	36	16
UTS2	9	10	3	36	2	61
TNFRSF9	0	1	0	1	0	0
PARK7	195	134	319	74	351	57
ERRFI1	0	2	0	2	0	2
SLC45A1	0	0	0	1	0	2
RERE	791	732	865	657	880	628
LOC102724552	10	22	14	15	15	13
ENO1	1506	1127	821	2333	731	3178
MIR6728	0	0	0	0	0	1
ENO1-AS1	1	0	0	0	0	2
CA6	0	1	0	2	0	3
SLC2A7	8	20	8	20	8	20
SLC2A5	285	273	123	744	105	1140
GPR157	0	0	0	3	0	5
MIR34A	1	1	1	1	1	1
H6PD	402	489	502	374	524	334
SPSB1	13	15	6	37	5	54
LOC100506022	0	9	0	4	1	3
SLC25A33	30	32	13	86	11	130
TMEM201	0	0	0	0	0	0
PIK3CD	1200	1351	866	1997	814	2358
PIK3CD-AS1	0	1	0	0	0	0
PIK3CD-AS2	0	3	1	0	1	0
CLSTN1	452	454	310	714	288	865
CTNNBIP1	18	14	5	58	4	103
LZIC	10	6	14	4	15	3
NMNAT1	8	8	4	17	4	24
RBP7	0	0	0	0	0	0
UBE4B	600	471	714	383	738	350
KIF1B	191	491	243	369	254	326
RNU6-2	1	12	4	4	5	2
PGD	597	269	650	243	661	232
APITD1	385	36	474	28	493	25
CORT	0	0	0	1	0	2
DFFA	308	187	272	217	266	231
PEX14	61	124	140	46	164	30
CASZ1	2	0	0	4	0	9
TARDBP	1954	2043	3352	1070	3715	812
MASP2	28	60	69	21	81	13
SRM	3	1	4	0	5	0
EXOSC10	443	461	735	251	810	194
MTOR	1079	701	1157	645	1172	623
MTOR-AS1	1	0	1	0	1	0
ANGPTL7	0	0	0	0	0	0
UBIAD1	265	307	209	409	199	462
PTCHD2	1	0	0	1	0	3
FBXO2	1	0	0	0	0	1
FBXO44	3	3	1	7	1	10
FBXO6	453	1364	479	1277	484	1242
MAD2L2	0	0	0	0	0	0
DRAXIN	0	0	0	0	0	0
AGTRAP	4	4	2	7	2	10
C1orf167	0	0	0	0	0	1
LOC102724659	0	0	0	0	0	1
MTHFR	34	46	26	65	24	75
CLCN6	21	40	7	141	5	240
NPPA-AS1	0	0	0	0	0	0
NPPA	0	0	0	0	0	0
KIAA2013	7	5	6	6	6	6
PLOD1	13	15	21	8	23	7
MFN2	1660	919	1251	1291	1185	1491
MIIP	0	0	0	1	0	3
TNFRSF8	0	1	0	0	0	0
TNFRSF1B	316	1457	271	1751	263	1893
VPS13D	1412	2110	1555	1879	1584	1789
DHRS3	13	9	17	6	18	5
HNRNPCL2	1	1	1	0	1	0
PRAMEF17	0	1	0	0	0	0
LRRC38	0	0	0	0	0	2
PDPN	0	0	0	0	0	0
PRDM2	1361	1177	1951	764	2089	636
KAZN	3	0	0	0	0	0
TMEM51	0	0	0	0	1	0
FHAD1	0	2	0	0	0	0
EFHD2	14	8	14	8	14	8
CTRC	0	0	0	1	0	3
CELA2A	1	1	1	1	1	1
CELA2B	0	0	0	0	0	0
CASP9	0	0	0	1	0	2
DNAJC16	315	348	580	168	651	123
AGMAT	0	0	0	0	0	0
DDI2	5	2	3	3	3	3
RSC1A1	46	90	90	40	103	29
PLEKHM2	39	20	8	137	5	303
SLC25A34	1	1	0	6	0	11
FBLIM1	34	122	65	57	74	41
UQCRHL	0	0	0	0	0	0
FLJ37453	23	2	6	12	4	24
SPEN	1878	2304	2145	1965	2200	1836
MIR5096	0	1	0	0	0	0
ZBTB17	272	146	182	237	169	291
HSPB7	0	0	0	0	0	0
CLCNKA	0	0	0	0	0	0
EPHA2	2	3	2	3	2	3
ARHGEF19	0	0	0	0	0	1
RSG1	2	0	0	2	0	4
FBXO42	1079	937	727	1504	675	1839
SZRD1	1321	250	640	596	557	863
SPATA21	0	0	0	0	0	1
NECAP2	18	22	27	13	29	11
CROCCP3	143	966	235	533	258	413
NBPF1	340	1292	367	1177	373	1131
CROCCP2	13	11	6	27	5	38
MST1P2	0	0	0	1	0	3
ESPNP	0	0	0	1	0	2
MST1L	2	4	4	1	5	1
CROCC	16	31	4	129	3	236
MFAP2	0	0	0	0	0	0
ATP13A2	20	18	4	101	3	206
SDHB	23	30	53	11	63	7
PADI2	9	963	30	257	37	146
